"locationTags.href","locationTags.text"
"https://www.tripadvisor.in/Attraction_Review-g1584785-d2625894-Reviews-Shri_Mahalasa_Temple-Ponda_Goa.html","Shri Mahalasa Temple"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c61-t194-Goa.html","Scuba & Snorkeling (9)"
"https://www.tripadvisor.in/Attraction_Review-g3136739-d3641500-Reviews-Mae_De_Deus_Church-Saligao_Bardez_Goa.html","Mae De Deus Church"
"https://www.tripadvisor.in/Attraction_Review-g297605-d6477238-Reviews-Coco_Beach-Candolim_Bardez_Goa.html","Coco Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d1234175-Reviews-Dr_Salim_Ali_Bird_Sanctuary-Panaji_Goa.html","Dr. Salim Ali Bird Sanctuary"
"https://www.tripadvisor.in/Attraction_Review-g306995-d3835936-Reviews-Casino_Palms-Calangute_Goa.html","Casino Palms"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c61-t263-Goa.html","Other Outdoor Activities (8)"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c42-t204-Goa.html","Food Tours (2)"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2704746-Reviews-Panaji_Kala_Academy-Panaji_Goa.html","Panaji Kala Academy"
"https://www.tripadvisor.in/Attraction_Review-g303877-d484547-Reviews-Chapel_of_Our_Lady_of_the_Mount-Panaji_Goa.html","Chapel of Our Lady of the Mount"
"https://www.tripadvisor.in/Attraction_Review-g2334950-d2721507-Reviews-Butterfly_Beach-Palolem_Canacona_Goa.html","Butterfly Beach"
"https://www.tripadvisor.in/Attraction_Review-g816969-d4155043-Reviews-Rock_Formations-Agonda_Goa.html","Rock Formations"
"https://www.tripadvisor.in/Attraction_Review-g297605-d2667763-Reviews-Viceroy_s_Arch-Candolim_Bardez_Goa.html","Viceroy's Arch"
"https://www.tripadvisor.in/Attraction_Review-g306994-d4138923-Reviews-Church_of_St_John_the_Baptist-Benaulim_Salcette_District_Goa.html","Church of St. John the Baptist"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2511213-Reviews-Casino_Carnival_Goa-Panaji_Goa.html","Casino Carnival Goa"
"https://www.tripadvisor.in/Attraction_Review-g303877-d4435595-Reviews-Divar_Island-Panaji_Goa.html","Divar Island"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2665274-Reviews-Vainguinim_Beach-Panaji_Goa.html","Vainguinim Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2721489-Reviews-Arossim_Beach-Panaji_Goa.html","Arossim Beach"
"https://www.tripadvisor.in/Attraction_Review-g297604-d1026422-Reviews-Ashwen_Beach-Goa.html","Ashwen Beach"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c61-t197-Goa.html","Surfing, Windsurfing & Kitesurfing (4)"
"https://www.tripadvisor.in/Attraction_Review-g1096236-d6122896-Reviews-The_Zuri_White_Sands_Casino-Varca_Goa.html","The Zuri White Sands Casino"
"https://www.tripadvisor.in/Attraction_Review-g297604-d320076-Reviews-Fort_Aguada_Beach-Goa.html","Fort Aguada Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d320657-Reviews-Church_Square-Panaji_Goa.html","Church Square"
"https://www.tripadvisor.in/Attraction_Review-g1936425-d5886100-Reviews-S2_beach_shacks-Morjim_Goa.html","S2 beach shacks"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c61-t191-Goa.html","Kayaking & Canoeing (2)"
"https://www.tripadvisor.in/Attraction_Review-g1833171-d2625514-Reviews-Mahadeva_Temple-Mollem_National_Park_Goa.html","Mahadeva Temple"
